,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p,loss
0,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,2.358931161216165e-09,0.00010956692813324749,0.36379473805427553
1,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,5.088990181900527e-15,0.00020037382917069028,0.07505845427513122
2,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,5.439670161482416e-07,0.11503649785001328,0.22241315841674805
3,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,9.219551025915596e-10,0.06297834565003745,0.13213457465171813
4,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,6.722400555395203e-07,0.006806179435775496,0.2465272903442383
5,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,2.0029733686797523e-10,8.085521090730372e-08,0.2330903947353363
6,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,4.2319427209941875e-07,0.06297834565003745,0.2579326927661896
7,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,7.633485272850794e-15,2.9797081712253577e-05,0.5862849056720734
8,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,4.526968024085978e-06,0.11503649785001328,0.5465847194194794
9,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,0.006224155616306869,0.010329637176077959,0.37367236614227295
10,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,0.00021843640310037032,0.04541899021115892,0.46901119947433473
11,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,10,5.214075139008902e-10,0.15199631923056828,0.33096925020217893
0,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,20,4.3735622085765614e-08,0.22350854805280182,0.20773993134498597
1,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,20,7.641957650279233e-21,6.654391615410317e-06,0.4752130925655365
2,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,20,1.5928609091202124e-12,0.0005718378976365663,0.18082526326179504
3,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,20,1.381082403015934e-11,2.5240761785358575e-05,0.45386293828487395
4,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,20,1.605510881169479e-09,0.00039998754684553834,0.35726592838764193
5,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,20,4.944574286550355e-17,1.5915884392671625e-06,0.27131775915622713
0,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,50,1.2445139251455673e-16,0.0008825360043522921,0.2076938569545746
1,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,50,2.713873257188063e-19,0.00024016885633722725,0.42405184149742126
0,CVC_ClinicDB,CVC_ClinicDB,ResNetVAE,100,1.5783585339190128e-23,0.0003417735063321106,0.3158728492259979
0,CVC_ClinicDB,EtisDataset,ResNetVAE,10,2.543438260709918e-11,0.0006178973521373264,0.5317919194698334
1,CVC_ClinicDB,EtisDataset,ResNetVAE,10,1.487960735756701e-08,0.010329637176077959,0.18897485733032227
2,CVC_ClinicDB,EtisDataset,ResNetVAE,10,2.609859060713148e-25,2.6527300166438223e-11,0.4076199889183044
3,CVC_ClinicDB,EtisDataset,ResNetVAE,10,2.612468919773859e-22,1.7508018109849231e-09,0.6886436820030213
4,CVC_ClinicDB,EtisDataset,ResNetVAE,10,2.609859060713148e-25,2.6527300166438223e-11,0.42202243208885193
5,CVC_ClinicDB,EtisDataset,ResNetVAE,10,2.3534970478379777e-14,1.4767376620453829e-05,0.2028805673122406
6,CVC_ClinicDB,EtisDataset,ResNetVAE,10,4.070445153665415e-09,0.00035640144010714247,0.31986783146858216
7,CVC_ClinicDB,EtisDataset,ResNetVAE,10,1.6204240747041572e-11,0.04541899021115892,0.7028198063373565
8,CVC_ClinicDB,EtisDataset,ResNetVAE,10,8.53100290329672e-19,1.4767376620453829e-05,0.746449327468872
9,CVC_ClinicDB,EtisDataset,ResNetVAE,10,3.466512038082345e-09,5.809627289330904e-05,0.6644554615020752
10,CVC_ClinicDB,EtisDataset,ResNetVAE,10,3.839002951240925e-06,0.0010451859722047311,0.3143288791179657
11,CVC_ClinicDB,EtisDataset,ResNetVAE,10,1.5808631687899722e-09,0.00010956692813324749,0.803911167383194
12,CVC_ClinicDB,EtisDataset,ResNetVAE,10,2.609859060713148e-25,2.6527300166438223e-11,0.4655131816864014
13,CVC_ClinicDB,EtisDataset,ResNetVAE,10,1.7225069800706742e-23,2.6527300166438223e-11,0.22304801940917968
14,CVC_ClinicDB,EtisDataset,ResNetVAE,10,7.464196913639601e-23,2.9180030183082047e-10,0.7986983478069305
0,CVC_ClinicDB,EtisDataset,ResNetVAE,20,4.230285585907253e-08,0.007317362056681163,0.4792175263166428
1,CVC_ClinicDB,EtisDataset,ResNetVAE,20,4.592689558827423e-13,0.0002772684390096243,0.7793719857931137
2,CVC_ClinicDB,EtisDataset,ResNetVAE,20,1.7601217532931743e-37,2.2995491593498684e-15,0.44125566482543943
3,CVC_ClinicDB,EtisDataset,ResNetVAE,20,4.9603431229171375e-37,3.453865062349671e-13,0.5281427055597305
